time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1744095900000000,79432.21,79432.21,79178.94,79303.76,22.39101,1744096199999999,1774712.5764205,1289,7.5875,601495.0710166,0,2025-04-08 07:05:00
1744096200000000,79303.77,79489.84,79298.0,79471.99,13.30989,1744096499999999,1056787.1677411,836,7.57979,601829.7271196,0,2025-04-08 07:10:00
1744096500000000,79472.0,79519.54,79400.97,79400.97,15.7361,1744096799999999,1250689.5684085,931,7.9641,632978.5128923,0,2025-04-08 07:15:00
1744096800000000,79400.0,79682.74,79364.0,79586.0,18.6903,1744097099999999,1487542.5480966,1279,8.34441,663786.5452349,0,2025-04-08 07:20:00
1744097100000000,79584.02,79635.71,79520.06,79546.0,11.90138,1744097399999999,947112.6461776,698,5.52668,439813.8288602,0,2025-04-08 07:25:00
1744097400000000,79546.0,79546.0,79414.0,79415.9,12.25159,1744097699999999,973634.1388206,849,7.11798,565667.9909166,0,2025-04-08 07:30:00
1744097700000000,79419.96,79441.96,79360.24,79430.0,16.01396,1744097999999999,1271410.8431323,888,8.77873,696994.7243803,0,2025-04-08 07:35:00
1744098000000000,79430.0,79463.54,79386.41,79444.28,7.81215,1744098299999999,620495.2261449,651,4.72017,374901.6218588,0,2025-04-08 07:40:00
1744098300000000,79444.29,79531.12,79324.06,79324.07,15.74083,1744098599999999,1250635.158019,989,6.6829,531030.8327929,0,2025-04-08 07:45:00
1744098600000000,79324.06,79396.19,79235.29,79365.0,11.11172,1744098899999999,881458.0751598,961,6.19598,491483.3020752,0,2025-04-08 07:50:00
1744098900000000,79363.99,79513.88,79330.03,79464.44,14.35043,1744099199999999,1140258.5833923,759,9.2233,732832.2561456,0,2025-04-08 07:55:00
1744099200000000,79460.02,79497.05,79422.22,79464.76,12.37972,1744099499999999,983688.3260304,808,6.70928,533078.7900584,0,2025-04-08 08:00:00
1744099500000000,79464.01,79467.9,79210.0,79219.14,24.89427,1744099799999999,1974222.5283952,1233,11.52095,913694.5799362,0,2025-04-08 08:05:00
1744099800000000,79222.14,79251.57,79030.1,79031.58,27.33358,1744100099999999,2162954.4026835,1771,9.22949,730260.6022441,0,2025-04-08 08:10:00
1744100100000000,79030.13,79143.99,79005.58,79108.01,13.33929,1744100399999999,1054854.5674342,1259,7.64058,604213.2887051,0,2025-04-08 08:15:00
1744100400000000,79108.01,79182.1,78977.1,78984.0,27.33682,1744100699999999,2162079.1638382,1393,9.59574,758941.2331268,0,2025-04-08 08:20:00
1744100700000000,78984.0,78994.0,78914.0,78915.55,15.13972,1744100999999999,1195310.0273376,966,6.82342,538702.8294586,0,2025-04-08 08:25:00
1744101000000000,78913.95,79092.01,78913.95,79052.9,17.54064,1744101299999999,1385773.9387173,887,8.89207,702495.7223332,0,2025-04-08 08:30:00
1744101300000000,79052.89,79148.0,79048.01,79121.05,9.36696,1744101599999999,740961.5296249,710,4.46373,353073.1354895,0,2025-04-08 08:35:00
1744101600000000,79114.23,79195.99,79063.17,79194.0,24.07944,1744101899999999,1905114.4715896,938,9.18531,726780.6339405,0,2025-04-08 08:40:00
1744101900000000,79193.98,79196.0,79088.02,79118.01,7.76273,1744102199999999,614243.0070396,512,2.85457,225888.1152471,0,2025-04-08 08:45:00
1744102200000000,79118.0,79134.82,78961.54,79119.38,17.71498,1744102499999999,1400202.8694299,914,4.69401,371053.9807435,0,2025-04-08 08:50:00
1744102500000000,79119.33,79166.0,79114.0,79130.95,8.86615,1744102799999999,701614.0391069,531,6.01143,475709.9791372,0,2025-04-08 08:55:00
1744102800000000,79130.93,79156.37,78962.98,79106.0,13.7478,1744103099999999,1086988.8040573,1000,7.78756,615750.0346522,0,2025-04-08 09:00:00
1744103100000000,79105.99,79159.98,79032.01,79147.2,13.01758,1744103399999999,1029795.5600453,909,6.459,510977.7109218,0,2025-04-08 09:05:00
1744103400000000,79144.2,79199.99,79042.0,79084.01,13.53419,1744103699999999,1071083.4393049,790,6.54572,518049.9311685,0,2025-04-08 09:10:00
1744103700000000,79084.0,79084.0,78980.0,78980.01,9.64735,1744103999999999,762408.9198186,660,3.36411,265834.4887427,0,2025-04-08 09:15:00
1744104000000000,78980.01,79079.99,78978.0,79032.01,16.20616,1744104299999999,1280797.1692189,965,7.34196,580240.1010599,0,2025-04-08 09:20:00
1744104300000000,79032.01,79032.01,78855.62,78859.27,20.65958,1744104599999999,1630479.4546709,1303,5.76893,455168.9551148,0,2025-04-08 09:25:00
1744104600000000,78859.26,78906.0,78845.69,78870.0,20.79431,1744104899999999,1639963.3449513,884,6.77724,534503.9423987,0,2025-04-08 09:30:00
1744104900000000,78870.0,79049.99,78850.24,78992.01,17.50938,1744105199999999,1382524.9556527,1013,10.17834,803628.0055637,0,2025-04-08 09:35:00
